Model,Set,Accuracy,Precision,Recall,F1-Score,Global Score
XGBoost,Training,0.822139303482587,0.8328050909513816,0.822139303482587,0.8133879157595475,82.26
XGBoost,Test,0.6467661691542289,0.6233120113717128,0.6467661691542289,0.6173990131787352,63.36
LightGBM,Training,0.7089552238805971,0.7991357626548723,0.7089552238805971,0.6578900858653217,71.87
LightGBM,Test,0.582089552238806,0.5292731673328688,0.582089552238806,0.5029297954671088,54.91
