Model,Set,Accuracy,Precision,Recall,F1-Score,Global Score
Gradient Boosting + LightGBM,Training,1.0,1.0,1.0,1.0,100.0
Gradient Boosting + LightGBM,Test,0.7263681592039801,0.6997755126805,0.7263681592039801,0.7032198379653875,71.39
Gradient Boosting + XGBoost,Training,1.0,1.0,1.0,1.0,100.0
Gradient Boosting + XGBoost,Test,0.6965174129353234,0.6818289504856668,0.6965174129353234,0.6791643979703682,68.85
LightGBM + XGBoost,Training,1.0,1.0,1.0,1.0,100.0
LightGBM + XGBoost,Test,0.7064676616915423,0.6910233306102797,0.7064676616915423,0.6851593053414827,69.73
Gradient Boosting + LightGBM + XGBoost,Training,1.0,1.0,1.0,1.0,100.0
Gradient Boosting + LightGBM + XGBoost,Test,0.7213930348258707,0.7049770088949193,0.7213930348258707,0.7019012001159249,71.24
