Model,Set,Accuracy,Precision,Recall,F1-Score,Global Score
Gradient Boosting + LightGBM + XGBoost,Training,0.931592039800995,0.9348965230383365,0.931592039800995,0.929894844882416,93.2
Gradient Boosting + LightGBM + XGBoost,Test,0.681592039800995,0.6648228452332929,0.681592039800995,0.6436533851747768,66.79
